URI_Name;Provincia;Canton;Parroquia;Latitud;Longitud;Nombre;Direccion;Tipo;RegimenEscolar;Modalidad;JornadaLaboral;DocentesFemenino;DocentesMasculino;TotalDocentes;TotalAdministrativos;EstudiantesFemenino;EstudiantesMasculino;Total_Alumnos
COLEGIODEBACHILLERATOADOLFOVALAREZO;Loja_Province;LOJA;SUCRE;-3,993026503;-79,20916382;COLEGIO DE BACHILLERATO ADOLFO VALAREZO;CARLOS ROMAN HINOSTROZA  ADOLFO VALAREZO Y  MANUEL CARRION PINZANO ;FiscalHighSchool;Sierra;Presencial;Matutina,Vespertina;54;22;76;8;714;1073;1787
COLEGIODEBACHILLERATOBALBINAMORENO;Loja_Province;GONZANAMA;GONZANAMA;-4,22919057;-79,43552962;COLEGIO DE BACHILLERATO BALBINA MORENO;24 DE MAYO  CALLE BOLIVAR ;FiscomitionalHighSchool;Costa;Presencial;Matutina;7;7;14;2;106;86;192
COLEGIODEBACHILLERATOBEATRIZCUEVADEAYORA;Loja_Province;LOJA;ELSAGRARIO;-3,996337201;-79,19733427;COLEGIO DE BACHILLERATO BEATRIZ CUEVA DE AYORA;ORILLAS DEL ZAMORA 07-90 10 DE AGOSTO ;FiscalHighSchool;Sierra;Presencial;Matutina,Vespertina;86;34;120;10;189;473;2363
COLEGIODEBACHILLERATOCARLOSGARBAYMONTESDEOCA;Loja_Province;PUYANGO;MERCADILLO;-4,023968317;-79,97619427;COLEGIO DE BACHILLERATO CARLOS GARBAY MONTESDEOCA;   PARROQUIA MERCADILLO - VIA SAN JOSE;FiscalHighSchool;Costa;Presencial;Matutina;3;8;11;3;72;90;162
COLEGIODEBACHILLERATOCHAGUARPAMBA;Loja_Province;CHAGUARPAMBA;CHAGUARPAMBA;-3,847751498;-79,67927969;COLEGIO DE BACHILLERATO CHAGUARPAMBA;   BARRIO LA UNION;FiscalHighSchool;Costa;Presencial;Matutina;7;9;16;6;134;155;289
COLEGIODEBACHILLERATOCOMUNADOMINGUILLO;Loja_Province;CELICA;CELICA;-4,152612046;-79,99011183;COLEGIO DE BACHILLERATO COMUNA DOMINGUILLO;   BARRIO LAS PAMPAS;FiscalHighSchool;Costa;Presencial;Matutina;2;6;8;0;22;28;50
COLEGIODEBACHILLERATODOCTORBENJAMINCARRION;Loja_Province;LOJA;SUCRE;-4,008082475;-79,20516926;COLEGIO DE BACHILLERATO DOCTOR BENJAMIN CARRION;AV. PIO JARAMILLO  CUBA ;FiscalHighSchool;Sierra;Presencial;Nocturno;7;5;12;4;83;125;208
COLEGIODEBACHILLERATODREDUARDOMORAMORENO;Loja_Province;LOJA;CHANTACO;-3,880363687;-79,32669767;COLEGIO DE BACHILLERATO DR  EDUARDO MORA MORENO;   CHANTACO CENTRO  CERCA  DEL  RETÉN POLICIAL;FiscalHighSchool;Sierra;Presencial;Matutina;6;3;9;2;91;87;178
COLEGIODEBACHILLERATODRBALTAZARAGUIRRE;Loja_Province;LOJA;QUINARA;-4,317864376;-79,23505784;COLEGIO DE BACHILLERATO DR BALTAZAR AGUIRRE;   A DOS CUADRAS DEL PARQUE CENTRAL;FiscalHighSchool;Sierra;Presencial;Matutina;3;6;9;2;92;97;189
COLEGIODEBACHILLERATODRCLOTARIOPAZPALADINES;Loja_Province;PINDAL;12DEDICIEMBRE;-4,071115153;-80,09075347;COLEGIO DE BACHILLERATO DR CLOTARIO PAZ PALADINES;   PARROQUIA   12  DE  DICIEMBRE;FiscalHighSchool;Costa;Presencial;Matutina;6;3;9;2;48;72;120
COLEGIODEBACHILLERATODRHUGOGUILLERMOGONZALEZ;Loja_Province;ESPINDOLA;SANTATERESITA;-4,50211;-79,40533618;COLEGIO DE BACHILLERATO DR HUGO GUILLERMO GONZALEZ;   VIA PRINCIPAL CARIAMNAGA JUNTO A LA URNA  DEL DIVINO NIÑO;FiscalHighSchool;Costa;Presencial;Matutina;5;4;9;2;29;28;57
COLEGIODEBACHILLERATODRJUANFRANCISCOONTANEDA;Loja_Province;CHAGUARPAMBA;BUENAVISTA;-3,891726688;-79,71480855;COLEGIO DE BACHILLERATO DR JUAN FRANCISCO ONTANEDA;   BARRIO BUENAVISTA CENTRO;FiscalHighSchool;Costa;Presencial;Matutina;5;5;10;4;71;71;142
COLEGIODEBACHILLERATODRMANUELAGUSTINAGUIRRE;Loja_Province;SOZORANGA;TACAMOROS;-4,39525015;-79,76475382;COLEGIO DE BACHILLERATO DR MANUEL AGUSTIN AGUIRRE;   BARRIO LAS DELICIAS;FiscalHighSchool;Costa;Presencial;Matutina;2;6;8;2;48;44;92
